nm,var1,var2
1116,0000;85,7111
1117,0000;85,2994
1118,0000;84,8130
1119,0000;84,2517
1120,0000;83,5968
1121,0000;82,8671
1122,0000;82,626
1123,0000;81,2581
1124,0000;80,5096
1125,0000;79,8361
1126,0000;79,2374
1127,0000;78,7135
1128,0000;78,2457
1129,0000;77,8528
1130,0000;77,5347
1131,0000;77,2915
1132,0000;77,1231
1133,0000;77,296
1134,0000;77,483
1135,0000;77,1418
1136,0000;77,3289
1137,0000;77,5909
1138,0000;77,9464
1139,0000;78,3767
1140,0000;78,6948
1141,0000;78,9380
1142,0000;79,877
1143,0000;79,1438
1144,0000;79,1064
1145,0000;79,128
1146,0000;78,9754
1147,0000;79,315
1148,0000;79,1812
1149,0000;79,3870
1150,0000;79,6864
1151,0000;80,793
1152,0000;80,5471
1153,0000;81,522
1154,0000;81,5387
1155,0000;82,439
1156,0000;82,5116
1157,0000;82,9981
1158,0000;83,4658
1159,0000;83,9149
1160,0000;84,3639
1161,0000;84,8130
1162,0000;85,2433
1163,0000;85,6736
1164,0000;86,478
1165,0000;86,3846
1166,0000;86,6653
1167,0000;86,9272
1168,0000;87,1330
1169,0000;87,2827
1170,0000;87,3950
1171,0000;87,4698
1172,0000;87,4885
1173,0000;87,4698
1174,0000;87,3763
1175,0000;87,2266
1176,0000;87,21
1177,0000;86,7401
1178,0000;86,4033
1179,0000;86,104
1180,0000;85,5614
1181,0000;85,562
1182,0000;84,4949
1183,0000;83,8775
1184,0000;83,2039
1185,0000;82,4929
1186,0000;81,7071
1187,0000;80,8838
1188,0000;80,45
1189,0000;79,690
1190,0000;78,773
1191,0000;77,296
1192,0000;75,9257
1193,0000;74,7469
1194,0000;73,5308
1195,0000;72,2398
1196,0000;71,236
1197,0000;69,9010
1198,0000;68,8532
1199,0000;67,9177
1200,0000;67,758
1201,0000;66,3087
1202,0000;65,6538
1203,0000;64,9990
1204,0000;64,3254
1205,0000;63,6144
1206,0000;62,8847
1207,0000;62,1176
1208,0000;61,3131
1209,0000;60,4898
1210,0000;59,6666
1211,0000;58,8995
1212,0000;58,1885
1213,0000;57,4962
1214,0000;56,8601
1215,0000;56,2800
1216,0000;55,7374
1217,0000;55,2323
1218,0000;54,7458
1219,0000;54,2593
1220,0000;53,8103
1221,0000;53,3426
1222,0000;52,9122
1223,0000;52,4819
1224,0000;52,703
1225,0000;51,6961
1226,0000;51,3593
1227,0000;51,599
1228,0000;50,8167
1229,0000;50,6109
1230,0000;50,4425
1231,0000;50,3115
1232,0000;50,2180
1233,0000;50,1431
1234,0000;50,683
1235,0000;49,9934
1236,0000;49,9186
1237,0000;49,8250
1238,0000;49,7502
1239,0000;49,6567
1240,0000;49,5631
1241,0000;49,4508
1242,0000;49,3573
1243,0000;49,2450
1244,0000;49,1328
1245,0000;49,205
1246,0000;48,8895
1247,0000;48,7586
1248,0000;48,6276
1249,0000;48,4779
1250,0000;48,3282
1251,0000;48,1598
1252,0000;48,102
1253,0000;47,8231
1254,0000;47,6547
1255,0000;47,4863
1256,0000;47,3553
1257,0000;47,2992
1258,0000;47,2618
1259,0000;47,2992
1260,0000;47,3740
1261,0000;47,5050
1262,0000;47,6734
1263,0000;47,9166
1264,0000;48,1786
1265,0000;48,5153
1266,0000;48,8895
1267,0000;49,3012
1268,0000;49,7128
1269,0000;50,870
1270,0000;50,4612
1271,0000;50,7980
1272,0000;51,1160
1273,0000;51,4341
1274,0000;51,7148
1275,0000;51,9954
1276,0000;52,2387
1277,0000;52,4819
1278,0000;52,6877
1279,0000;52,8935
1280,0000;53,993
1281,0000;53,2864
1282,0000;53,4735
1283,0000;53,6419
1284,0000;53,8103
1285,0000;53,9787
1286,0000;54,1284
1287,0000;54,2781
1288,0000;54,4090
1289,0000;54,5587
1290,0000;54,7084
1291,0000;54,8581
1292,0000;55,78
1293,0000;55,1574
1294,0000;55,3071
1295,0000;55,4568
1296,0000;55,6252
1297,0000;55,7749
1298,0000;55,9245
1299,0000;56,929
1300,0000;56,2426
